,en,pt
NEW_GAME,New Game,Novo Jogo
LOAD_GAME,Load Game,Carregar Jogo
OPTIONS,Options,Opções
CREDITS,Credits,Créditos
QUIT,Quit,Sair
LABEL_EXIT,Exit,Sair
QUIT_CONFIRMATION,Are you sure you want to leave?,Tem certeza que quer sair?
PROLOGUE,"Finn is a young kitten who failed the trial to claim the Elemental Slingshot, the legendary weapon carried by Purrington’s guardians. Embarrassed but not defeated, Finn is given one last chance by the town elders to try again.","Finn é um jovem gato que reprovou no teste para conquistar o Estilingue Elemental, a lendária arma carregada pelos guardiões de Purrington. Envergonhado, mas não derrotado, ele recebe uma última chance dos anciões da cidade para provar seu valor e tentar o teste novamente."
TUTORIAL_PLAYER_MOVE,1.To move Finn use:,1.Para mover o jogador use:
TUTORIAL_PLAYER_JUMP,2.To jump use:,2.Para pular use:
TUTORIAL_MELEE,3.To destroy the boxes use:,3.Para destruir as caixas use:
TUTORIAL_ATTACK_1,4.Attack level 1,4.Ataque Lv 1
TUTORIAL_CHANGE_ORB,5.Change orb,5.Mudar orb
TUTORIAL_ATTACK_2,6.To destroy the orange boxes use Attack Level 2,6.Para destruir as caixas laranjas use o Ataque Level 2
TUTORIAL_PROCEED,Continue,Prosseguir
TUTORIAL_HEAL,7.To heal (-1 orb):,7.Para curar (-1 orb):
GAME_PAUSED,Game Paused,Jogo Pausado
RESUME,Resume,Continuar
RESTART,Restart,Reiniciar
SAVE_GAME,Save Game,Salvar Jogo
MAIN_MENU,Main Menu,Menu Principal
CLOSE,Close,Fechar
LOADING,Loading...,Carregando...
LANGUAGE,Language:,Idioma:
FULLSCREEN,Fullscreen:,Tela Cheia:
GENERAL,General:,Geral:
MUSIC,Music:,Música:
SOUNDS,Sounds:,Sons:
RESET,Reset,Restaurar
PREVIOUS,Previous,Anterior
BACK,Back,Voltar
NEXT,Next,Próximo
PLAY_AGAIN,Play Again,Jogar Novamente
GAME_OVER,Game Over,Fim de Jogo
GAME_FINISHED,Game Finished,Jogo Terminado
LABEL_ORB,Orb:,Orb:
LABEL_SHOP,Shop,Loja
SHOP_HEALTH,HP +1,HP +1
SHOP_HEALTH_DESCRIPTION,Permanently increases your HP by 1. (Permanent upgrade),Aumenta seu HP em 1 (upgrade permanente)
SHOP_EXTRA_FIRE_ORB,Extra Fire Orb +1,Extra Fire Orb +1
SHOP_EXTRA_FIRE_ORB_DESCRIPTION,Gain 1 additional Fire Orb slot. (Permanent upgrade),Aumenta suas orbs de fogo em 1 (upgrade permanente)
SHOP_EXTRA_ICE_ORB,Extra Ice Orb +1,Extra Ice Orb +1
SHOP_EXTRA_ICE_ORB_DESCRIPTION,Gain 1 additional Ice Orb slot. (Permanent upgrade),Aumenta suas orbs de gelo em 1 (upgrade permanente)
SHOP_IMMUNITY,Immunity,Imunidade
SHOP_IMMUNITY_DESCRIPTION,Grants immunity for 8 seconds. (Temporary Ability),Voce fica imune por 8 segundos (upgrade temporario)
SHOP_PARALYZE,Paralyze,Paralise
SHOP_PARALYZE_DESCRIPTION,Paralyzes enemies for 20 seconds. (Temporary Ability),Paraliza os inimigos por 20 segundos (upgrade temporario)
